instance name;fleet name;opt?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes
RCdp105;1vehc1pcs0perc;true;15284;15284;14894.1;15284;16.8923;1.88618;16.8912;3600;1;1: (0 2 45 5 3 1 8 6 55 101 ) ,2: (0 12 14 47 15 16 9 10 13 17 101 ) ,3: (0 31 29 27 30 28 26 32 34 50 101 ) ,4: (0 33 63 85 84 56 66 101 ) ,5: (0 39 36 37 38 40 35 43 101 ) ,6: (0 42 44 41 72 54 96 94 91 80 101 ) ,7: (0 51 76 89 48 21 25 24 101 ) ,8: (0 64 86 87 59 97 75 58 101 ) ,9: (0 65 99 52 57 74 101 ) ,10: (0 69 88 79 7 46 4 70 100 101 ) ,11: (0 81 61 68 101 ) ,12: (0 82 11 73 78 60 101 ) ,13: (0 83 19 23 18 22 49 20 77 101 ) ,14: (0 90 53 98 101 ) ,15: (0 92 95 62 67 71 93 101 ) ,
RCdp106;1vehc1pcs0perc;true;13906;13906;13352.1;13856.9;1133.09;2.94503;107.841;3600;221;1: (0 2 45 5 8 7 6 46 4 3 1 101 ) ,2: (0 14 47 16 15 11 12 53 101 ) ,3: (0 23 21 22 49 19 18 48 25 77 101 ) ,4: (0 29 27 28 26 32 34 50 91 80 101 ) ,5: (0 31 30 33 85 84 56 66 101 ) ,6: (0 42 44 40 36 35 37 43 70 100 101 ) ,7: (0 65 52 87 59 75 97 58 74 101 ) ,8: (0 69 98 88 78 73 79 60 55 68 101 ) ,9: (0 72 39 38 41 61 81 101 ) ,10: (0 82 99 57 86 9 13 10 17 101 ) ,11: (0 83 64 51 63 76 89 20 24 101 ) ,12: (0 90 101 ) ,13: (0 92 95 62 67 94 71 93 96 54 101 ) ,
RCdp107;1vehc1pcs0perc;true;12529;12529;12148.1;12508.9;817.405;12.8153;306.84;3600;33;1: (0 11 12 14 47 17 16 15 13 9 10 101 ) ,2: (0 31 29 27 28 26 34 30 32 33 101 ) ,3: (0 42 44 41 72 71 93 96 54 101 ) ,4: (0 61 38 36 35 37 40 43 39 68 101 ) ,5: (0 64 22 19 23 21 18 48 49 20 24 101 ) ,6: (0 65 83 25 77 75 97 58 74 101 ) ,7: (0 69 98 53 2 5 3 1 45 4 100 70 101 ) ,8: (0 81 94 67 62 50 91 80 101 ) ,9: (0 82 99 52 87 59 86 57 66 101 ) ,10: (0 88 78 73 79 7 8 46 6 60 55 101 ) ,11: (0 90 101 ) ,12: (0 92 95 84 85 63 51 76 89 56 101 ) ,
RCdp108;1vehc1pcs0perc;false;1.00E+11;11541.5;11073.2;11531.9;3600;46.184;2211.86;3600;14;0
RCdp201;1vehc1pcs0perc;true;12718;12718;12659.4;12716.5;14.5409;5.57652;13.1505;3600;3;1: (0 5 45 2 6 7 8 46 3 1 4 100 70 101 ) ,2: (0 14 47 16 15 12 11 9 99 57 86 87 97 10 17 13 74 58 77 25 101 ) ,3: (0 65 59 75 23 21 18 19 49 22 20 56 66 101 ) ,4: (0 69 98 88 53 73 79 78 60 55 101 ) ,5: (0 72 36 39 42 44 41 38 40 43 35 37 54 101 ) ,6: (0 81 61 68 101 ) ,7: (0 82 52 83 64 51 76 85 84 50 34 32 26 89 48 24 91 80 101 ) ,8: (0 90 101 ) ,9: (0 92 95 63 33 28 27 29 31 30 62 67 71 94 96 93 101 ) ,
RCdp202;1vehc1pcs0perc;true;11023;11023;10980.9;11023;33.7952;16.5765;33.7949;3600;1;1: (0 45 5 3 1 42 39 36 44 41 38 40 43 35 37 72 54 101 ) ,2: (0 65 64 23 21 48 18 19 49 22 20 24 74 58 75 77 25 83 101 ) ,3: (0 69 98 88 53 73 78 79 7 8 6 46 4 2 55 101 ) ,4: (0 81 61 68 101 ) ,5: (0 82 12 14 47 16 15 11 9 99 52 57 86 87 59 97 10 13 17 60 100 70 101 ) ,6: (0 90 101 ) ,7: (0 91 92 95 63 33 34 31 29 27 26 28 30 32 89 50 93 94 80 101 ) ,8: (0 96 71 67 62 85 76 51 84 56 66 101 ) ,
RCdp203;1vehc1pcs0perc;true;9337;9337;9311.26;9337;288.934;122.009;288.934;3600;1;1: (0 1 3 5 45 60 12 11 15 16 14 78 73 79 7 6 8 46 4 2 55 100 70 101 ) ,2: (0 69 98 88 53 82 99 52 86 87 9 10 47 17 13 74 59 97 75 58 77 25 24 57 101 ) ,3: (0 81 54 72 37 36 39 42 44 41 38 40 35 43 61 68 101 ) ,4: (0 90 65 83 64 85 63 89 76 23 21 48 18 19 49 22 20 51 84 56 66 101 ) ,5: (0 91 92 95 62 33 32 30 27 26 28 29 31 34 50 67 94 93 71 96 80 101 ) ,
RCdp204;1vehc1pcs0perc;false;1.00E+11;7857.3;7857.3;7857.3;3600;3162.59;3162.59;3600;1;0
RCdp205;1vehc1pcs0perc;true;11640;11640;11576.1;11640;32.5744;14.6699;32.5741;3600;1;1: (0 2 45 5 42 39 36 44 40 38 41 43 35 37 54 93 96 101 ) ,2: (0 65 83 64 19 23 21 18 76 85 84 51 49 22 20 24 25 48 89 91 80 101 ) ,3: (0 69 98 88 53 9 10 13 17 60 101 ) ,4: (0 82 11 15 16 47 14 12 78 73 79 7 6 8 46 4 3 1 70 100 101 ) ,5: (0 90 99 52 57 86 87 59 75 97 74 77 58 101 ) ,6: (0 92 95 63 33 30 27 28 26 29 31 32 34 50 56 66 101 ) ,7: (0 94 62 67 71 72 81 61 68 55 101 ) ,
RCdp206;1vehc1pcs0perc;true;10611;10611;10472.6;10611;115.316;42.7662;115.316;3600;1;1: (0 61 2 45 5 8 7 79 73 78 53 88 6 46 4 3 1 100 70 68 101 ) ,2: (0 65 83 64 95 62 63 33 30 31 29 27 28 26 32 34 50 56 91 80 101 ) ,3: (0 69 98 12 14 47 16 15 11 59 75 97 87 9 10 13 17 60 55 101 ) ,4: (0 81 94 67 84 85 51 76 89 48 25 77 58 74 101 ) ,5: (0 82 99 52 86 57 23 21 18 19 49 20 22 24 66 101 ) ,6: (0 90 101 ) ,7: (0 92 71 72 42 39 38 36 40 44 43 41 37 35 54 93 96 101 ) ,
